IR,PI,DD,TanDelta_20,TanDelta_100,Cap_TipUp
6.27,1.65,1.16,0.915,1.079,0.19
7.92,3.01,1.53,1.582,1.752,0.19
1.16,2.30,5.22,3.242,3.294,-0.03
22.60,5.73,0.54,3.900,6.195,2.97
26.20,1.96,0.38,0.627,0.811,0.22
45.60,2.49,0.24,0.625,0.759,0.18
2.12,4.33,4.22,3.270,3.350,0.04
5.00,2.86,3.12,1.453,1.489,-0.04
11.90,4.34,1.04,0.827,0.859,-0.02
11.00,3.91,0.86,1.177,1.816,0.80
3.87,2.14,1.60,0.989,1.325,0.04
39.00,4.15,0.45,5.632,6.221,3.71
48.20,5.29,0.37,5.460,5.870,3.16
24.00,2.06,0.68,1.207,1.342,0.31
54.00,3.60,0.32,1.106,1.277,0.29
0.51,1.28,5.43,11.027,21.701,23.47
3.78,3.32,2.72,10.023,21.022,23.62
6.80,6.49,2.72,7.919,20.538,27.00
41.30,5.41,0.34,0.711,0.898,0.20
18.28,2.96,0.87,1.649,1.776,0.51
1.00,4.66,0.41,1.422,1.604,0.42
17.90,3.92,0.87,1.321,1.266,0.26
41.40,5.45,0.48,1.104,1.282,0.33
19.70,2.76,0.72,1.550,1.722,0.42
39.80,2.76,0.34,1.260,1.511,0.39
26.20,9.25,0.41,1.040,1.140,0.13
9.37,5.49,0.68,4.892,4.664,1.57
8.46,6.54,0.83,4.511,4.421,2.06
25.90,2.55,0.21,0.620,1.110,0.87
4.13,1.90,0.91,4.410,4.254,0.77
6.54,2.51,0.71,4.618,4.208,0.77
2.07,2.28,2.14,1.083,1.187,0.12
3.19,2.64,1.36,2.126,2.231,0.12
8.62,2.60,1.32,5.750,7.520,9.40
2.75,4.31,3.88,1.874,2.261,0.54
13.30,2.09,0.69,1.147,1.505,0.56
1.44,4.03,6.87,8.388,8.624,8.38
20.50,3.35,0.97,6.745,7.012,4.08
3.68,2.52,2.31,6.420,8.250,7.62
20.80,4.94,0.46,0.771,0.788,0.04
19.80,2.16,0.35,0.558,0.576,0.00
6.48,1.93,0.62,0.753,0.784,0.04
26.30,129.00,0.41,1.597,1.705,0.01
44.00,5.64,0.31,1.813,1.924,0.10
5.53,2.30,1.35,3.280,3.510,0.24
12.10,8.35,1.19,3.117,4.511,2.45
4.82,2.63,1.71,1.823,2.195,0.92
8.22,5.84,2.45,2.686,2.738,0.07
16.55,3.05,1.30,1.666,1.860,0.11
43.70,7.34,1.05,1.226,1.279,0.06
15.90,3.22,0.52,1.630,1.850,0.55
11.70,4.45,0.83,1.214,1.302,0.35
2.49,1.45,3.30,1.937,1.990,-0.21
14.40,3.39,0.64,1.330,1.454,0.60
7.16,5.05,3.79,3.556,3.932,0.21
0.49,0.94,7.90,3.633,3.767,0.12
8.19,4.55,8.25,3.929,4.087,0.11
3.41,3.65,6.32,7.033,7.522,0.46
5.28,3.30,13.40,5.020,5.400,0.24
5.90,4.27,4.32,4.413,4.861,0.46
4.33,3.05,8.07,6.329,6.432,0.11
8.03,5.72,6.26,4.839,4.905,0.08
8.03,5.72,6.26,4.839,4.905,0.08
3.64,1.29,2.74,2.064,2.129,0.05
4.50,2.53,4.13,4.035,4.107,0.00
5.22,1.02,0.37,0.796,0.920,0.14
5.86,2.56,1.28,1.935,2.127,0.18
13.40,5.05,0.55,3.491,3.322,0.93
13.00,4.04,0.53,2.310,2.697,1.03
14.00,4.42,0.49,2.928,3.035,1.12
25.90,5.51,0.32,5.880,4.840,2.05
25.20,4.96,0.30,8.268,6.427,4.76
8.58,2.49,0.58,8.651,6.513,3.44
25.20,4.96,0.30,8.268,6.426,4.76
3.81,2.87,1.79,6.575,5.577,4.59
23.00,5.03,0.43,5.963,5.245,4.11
1.11,1.23,0.54,7.334,7.295,1.47
1.11,1.23,0.54,7.334,7.295,1.47
14.75,4.72,0.60,10.962,9.981,9.63
6.82,2.07,0.83,11.701,9.693,7.45
14.20,4.30,0.64,11.860,9.546,5.50
6.82,2.07,0.83,11.700,9.690,7.45
7.36,3.47,0.71,8.258,7.270,3.47
9.57,4.03,0.56,8.550,7.760,4.37
16.93,1.92,1.13,1.175,1.248,-0.01
3.74,2.10,1.88,4.240,5.540,1.89
8.27,5.63,2.23,4.623,5.113,1.16
9.81,6.60,1.44,3.776,4.110,0.89
12.50,6.95,1.27,3.707,4.025,0.92
15.80,4.17,0.60,1.203,2.283,1.19
17.20,4.92,0.76,0.975,2.068,1.41
12.50,5.47,0.67,1.233,1.606,0.48
5.64,1.43,0.29,0.487,0.650,0.20
0.65,2.87,1.42,1.259,1.380,0.15
12.20,2.22,0.26,0.417,0.571,0.19
11.48,4.44,1.03,4.033,1.930,0.44
10.20,3.52,1.23,4.913,2.028,0.28
3.65,1.56,0.86,1.522,1.734,0.27
9.06,1.68,0.45,0.746,0.916,0.46
11.18,2.22,0.59,1.252,1.453,0.25
34.40,4.71,0.34,0.602,0.634,0.05
7.53,3.31,0.51,0.690,0.963,0.28
15.60,6.75,0.63,1.107,1.411,0.38
29.30,7.00,0.44,0.794,0.944,0.18
8.21,4.10,1.21,1.776,2.109,0.33
17.10,5.46,0.66,0.733,0.910,0.21
16.15,5.21,0.63,0.926,1.001,0.18
5.77,3.14,1.53,0.805,1.018,0.23
14.00,2.57,0.38,1.380,1.936,0.67
14.90,4.61,0.47,0.710,1.120,0.65
8.74,4.97,0.47,2.520,2.422,0.46
18.40,5.08,0.56,0.793,1.086,0.34
22.10,2.80,0.66,5.069,6.059,2.19
7.87,2.44,0.78,1.417,2.088,0.83
21.90,4.80,1.10,4.930,5.950,2.25
24.30,5.43,0.66,4.316,5.407,2.95
4.25,1.67,1.29,6.530,7.510,2.50
7.56,3.11,1.02,7.400,8.500,2.81
4.25,1.67,1.29,6.530,7.510,2.51
14.57,3.05,0.77,5.383,6.800,4.36
6.24,2.74,2.26,5.692,7.934,4.19
22.30,3.02,0.80,5.183,6.001,2.55
3.35,3.22,1.13,9.080,9.800,3.50
4.02,3.09,2.73,1.685,2.466,1.15
13.42,4.95,0.64,1.051,1.147,0.10
7.05,2.99,2.34,2.440,2.740,0.27
2.31,3.36,2.83,3.097,3.469,0.32
23.90,3.55,0.54,0.973,1.095,0.16
22.20,4.16,0.58,0.931,1.202,0.43
8.19,2.51,1.16,2.057,3.565,2.25
5.91,2.09,0.78,1.150,1.244,0.13
5.10,2.56,0.96,1.203,1.302,0.05
11.00,3.40,0.79,1.117,1.158,0.09
5.20,2.81,0.86,1.756,1.393,0.15
11.60,6.04,0.87,1.140,1.264,0.12
16.77,5.27,0.76,0.868,1.068,0.22
12.40,2.32,0.47,1.080,1.229,0.17
12.32,4.28,0.72,1.625,1.757,0.20
9.77,2.23,0.81,0.655,0.678,0.05
26.60,2.37,0.19,0.567,0.586,0.03
